Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
1.16755E-4,23.004768095,0.340910297,0.228494355,0.111111111,0
1.18064E-4,23.251629989,0.343419482,0.226396243,0.111111111,0
1.20161E-4,23.501930034,0.347401292,0.224298132,0.111111111,0
1.23024E-4,23.757926487,0.352758056,0.22220002,0.111111111,0
1.25886E-4,24.006675682,0.358025789,0.220201818,0.111111111,0
1.28491E-4,24.260854812,0.362746881,0.218203617,0.111111111,0
1.31354E-4,24.508104965,0.367857209,0.216305325,0.111111111,0
1.35098E-4,24.761385601,0.374416176,0.214407034,0.111111111,0
1.37758E-4,25.006849821,0.378993704,0.212608652,0.111111111,0
1.39507E-4,25.256849565,0.381969101,0.210810271,0.222222222,0
1.43482E-4,25.511721529,0.388621703,0.209011889,0.222222222,0
1.45457E-4,25.757291545,0.391876036,0.207313418,0.222222222,0
1.4785E-4,26.00696793,0.395769924,0.205614947,0.222222222,0
1.50544E-4,26.260235034,0.400097538,0.203916475,0.222222222,0
1.53906E-4,26.503697495,0.405409966,0.202317914,0.222222222,0
1.58065E-4,26.754129098,0.411852314,0.200719353,0.222222222,0
1.6166E-4,27.009902421,0.417310614,0.199120791,0.222222222,0
1.65395E-4,27.255150902,0.422874734,0.19762214,0.222222222,0
1.69694E-4,27.506977471,0.429149343,0.196123489,0.222222222,0
1.73315E-4,27.764408588,0.434329515,0.194624838,0.222222222,0
1.76331E-4,28.009551032,0.438573961,0.193226097,0.222222222,0
1.80199E-4,28.258751924,0.443922846,0.191827355,0.222222222,0
1.86035E-4,28.515625766,0.451805043,0.190428614,0.222222222,0
1.87765E-4,28.758811292,0.45409845,0.189129783,0.222222222,0
1.88979E-4,29.00374156,0.455695944,0.187830952,0.222222222,0
1.90395E-4,29.25052481,0.457548222,0.186532121,0.222222222,0
1.93682E-4,29.500606733,0.461799154,0.18523329,0.222222222,0
1.96116E-4,29.754235268,0.464904623,0.183934459,0.222222222,0
1.97818E-4,30.010313512,0.467054862,0.182635628,0.222222222,0
2.0147E-4,30.250282094,0.471611786,0.181436707,0.222222222,0
2.03419E-4,30.513790455,0.474011567,0.180137876,0.222222222,0
2.05046E-4,30.759107469,0.47599768,0.178938955,0.222222222,0
2.07378E-4,31.006541056,0.478819308,0.177740034,0.222222222,0
2.09124E-4,31.256477722,0.480912249,0.176541113,0.222222222,0
2.10382E-4,31.508295948,0.482409155,0.175342192,0.222222222,0
2.11719E-4,31.761661684,0.48399154,0.174143271,0.222222222,0
2.14284E-4,32.017699893,0.486998955,0.17294435,0.222222222,0
2.15022E-4,32.253704352,0.487857702,0.171845339,0.222222222,0
2.15834E-4,32.512420608,0.488800418,0.170646418,0.222222222,0
2.16957E-4,32.750523329,0.490097329,0.169547407,0.222222222,0
2.1868E-4,33.012321533,0.49207386,0.168348486,0.222222222,0
2.20272E-4,33.253942808,0.493886419,0.167249475,0.222222222,0
2.21753E-4,33.518981719,0.495562068,0.166050555,0.222222222,0
2.23691E-4,33.76387105,0.497737397,0.164951544,0.222222222,0
2.25043E-4,34.011060763,0.499243978,0.163852533,0.222222222,0
