Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
7.40641E-5,13.000663071,0.263350443,0.39164673,0.0625,0.1
7.52924E-5,13.254707936,0.266553898,0.388257576,0.0625,0.1
7.64698E-5,13.505095918,0.269598474,0.384968102,0.0625,0.1
7.75912E-5,13.751750891,0.272474672,0.381778309,0.0625,0.1
7.88483E-5,14.00225057,0.275672143,0.378588517,0.0625,0.1
8.01036E-5,14.256458591,0.278837289,0.375398724,0.0625,0.1
8.15622E-5,14.506997601,0.282480393,0.372308612,0.0625,0.1
8.33253E-5,14.754626049,0.286835051,0.369318182,0.0625,0.1
8.5172E-5,15.007416726,0.291340093,0.366327751,0.0625,0.1
8.67798E-5,15.25702096,0.295216196,0.363437002,0.0625,0.1
8.79541E-5,15.501663144,0.298020597,0.360645933,0.0625,0.1
8.90539E-5,15.758277425,0.300626648,0.357755183,0.0625,0.1
9.05163E-5,16.000602314,0.304062336,0.355063796,0.0625,0.1
9.17447E-5,16.255528615,0.306922308,0.352272727,0.0625,0.1
9.31084E-5,16.504994917,0.310069836,0.34958134,0.0625,0.1
9.43945E-5,16.758377295,0.313012183,0.346889952,0.0625,0.1
9.58132E-5,17.00584579,0.31622896,0.344298246,0.0625,0.1
9.72437E-5,17.256950972,0.319442065,0.341706539,0.0625,0.1
9.84269E-5,17.501393454,0.322077048,0.339214514,0.0625,0.1
9.95963E-5,17.758840586,0.32466131,0.336622807,0.0625,0.1
1.00659E-4,18.009198561,0.326993609,0.334130781,0.0625,0.1
1.01468E-4,18.25179518,0.32875676,0.331738437,0.0625,0.1
1.02619E-4,18.50712003,0.331249706,0.329246411,0.0625,0.1
1.03438E-4,18.754450955,0.333014316,0.326854067,0.0625,0.1
1.04313E-4,19.003738671,0.334888267,0.324461722,0.0625,0.1
1.05024E-4,19.254868731,0.336402722,0.322069378,0.0625,0.1
1.0593E-4,19.508258945,0.338322435,0.319677033,0.0625,0.1
1.06801E-4,19.752962388,0.340157483,0.31738437,0.0625,0.1
1.07525E-4,20.010064574,0.34167706,0.314992026,0.0625,0.1
1.08222E-4,20.258238283,0.343130068,0.312699362,0.0625,0.1
1.08852E-4,20.507927073,0.344440253,0.310406699,0.09375,0.1
1.09707E-4,20.759260675,0.346209338,0.308114035,0.09375,0.1
1.10312E-4,21.001171771,0.347455296,0.305921053,0.09375,0.1
1.10842E-4,21.255481745,0.348542281,0.303628389,0.09375,0.1
